"sname"	"Nmax"	"numclones"	"Nevent"	"tevent"	"s"	"pctfit"	"clonetime"	"clonemuts"	"br"	"dr"	"mu"	"b"	"d"	"tend"	"clonalmuts"	"area"	"area_pval"	"Dk"	"Dk_pval"	"meanD"	"meanD_pval"	"rsq"	"rsq_pval"	"fmin"	"fmax"	"det_limit"	"ploidy"	"read_depth"	"num_muts"	"draw"
"10"	10000	1	"1182"	"9.305175926706937"	"7.11397694683116"	"0.5752"	"9.305908435901255"	"159"	"0.6931471805599453,5.624180243824412"	"0.0,0.0"	7.391657538837142	0.6931471805599453	0.0	11.1010816474688	923	0.3723217153027693	0.0	0.7520880234452819	0.0	0.5461017569669173	0.0	0.3818602525906273	0.0	0.02	0.6	0.02	2	1200.0	1356.0	64.0
"10"	10000	1	"1582"	"9.502840762200286"	"9.180853717903002"	"0.621"	"9.503049177077541"	"114"	"0.6931471805599453,7.056830050257703"	"0.0,0.0"	7.061859647590417	0.6931471805599453	0.0	10.741909105899989	943	0.38906290218195083	0.0	0.7549063021276434	0.0	0.5568372488255814	0.0	0.3811079252315577	0.0	0.02	0.6	0.02	2	1200.0	1334.0	65.0
"10"	10000	1	"934"	"10.2568743784774"	"7.304260970240736"	"0.6911"	"10.258700351485615"	"152"	"0.6931471805599453,5.756075078156362"	"0.0,0.0"	8.423422054229967	0.6931471805599453	0.0	12.01123384835383	895	0.38593484777419995	0.0	0.7631612028157021	0.0	0.5571831227641841	0.0	0.3804347912418804	0.0	0.02	0.6	0.02	2	1200.0	1323.0	62.0
"10"	10000	1	"851"	"8.241238879250192"	"6.352223139836771"	"0.6482"	"8.24530144471083"	"154"	"0.6931471805599453,5.096172740225446"	"0.0,0.0"	6.585148154656392	0.6931471805599453	0.0	10.267505495139481	928	0.3928260375127339	0.0	0.7960698240413956	0.0	0.5806105509190613	0.0	0.367920907287839	0.0	0.02	0.6	0.02	2	1200.0	1299.0	58.0
"10"	10000	1	"1007"	"10.089503168446704"	"5.400021806045567"	"0.5879"	"10.091193971035421"	"120"	"0.6931471805599453,4.436157070382654"	"0.0,0.0"	7.1803352120732145	0.6931471805599453	0.0	12.122691511636685	936	0.4010012452316056	0.0	0.7509786522387996	0.0	0.5562787384593832	0.0	0.39000681969511386	0.0	0.02	0.6	0.02	2	1200.0	1324.0	64.0
"10"	10000	1	"878"	"9.152563787086807"	"5.592295658124852"	"0.633"	"9.152932815091857"	"167"	"0.6931471805599453,4.56943114884681"	"0.0,0.0"	8.017414914399524	0.6931471805599453	0.0	11.258952265758024	907	0.3833515449448522	0.0	0.7657392894461861	0.0	0.55601123453176	0.0	0.37957657646956167	0.0	0.02	0.6	0.02	2	1200.0	1344.0	57.0
"10"	10000	1	"436"	"8.532758406283278"	"4.26548572466859"	"0.6658"	"8.542216390812115"	"120"	"0.6931471805599453,3.6497565843326734"	"0.0,0.0"	8.476325423712295	0.6931471805599453	0.0	11.478570026235868	904	0.38705764764935	0.0	0.7574215915779743	0.0	0.5610487316487132	0.0	0.38028491007280285	0.0	0.02	0.6	0.02	2	1200.0	1297.0	63.0
"10"	10000	1	"944"	"9.196766875992077"	"6.6167124293549255"	"0.7045"	"9.197378028742369"	"159"	"0.6931471805599453,5.279502745543258"	"0.0,0.0"	7.491240633885026	0.6931471805599453	0.0	10.85856334908945	908	0.40906044312877576	0.0	0.7841446923597025	0.0	0.5759720667602678	0.0	0.37920985899524473	0.0	0.02	0.6	0.02	2	1200.0	1305.0	63.0
"10"	10000	1	"155"	"6.0699829825209815"	"2.0208040599123"	"0.6372"	"6.08007386703097"	"144"	"0.6931471805599453,2.0938618171522467"	"0.0,0.0"	7.531188888362083	0.6931471805599453	0.0	10.830694533069877	916	0.39489042638585453	0.0	0.7676283361715022	0.0	0.5660196223153817	0.0	0.38067915443149114	0.0	0.02	0.6	0.02	2	1200.0	1314.0	59.0
"10"	10000	1	"1337"	"11.813902775190488"	"4.297528029996972"	"0.3306"	"11.817121938250253"	"150"	"0.6931471805599453,3.6719666179296824"	"0.0,0.0"	7.757707757234156	0.6931471805599453	0.0	14.209741336971504	941	0.3845834529677863	0.0	0.7066208351260357	0.0	0.5417446997092424	0.0	0.3917543046764833	0.0	0.02	0.6	0.02	2	1200.0	1348.0	59.0
