pval,areametric,Dkmetric,invrsqmetric,meanDmetric
0.883,0.010910246,0.056994272,0.001794063,0.021246972
0.882,0.011001717,0.057142857,0.001805685,0.021328482
0.881,0.011096462,0.057301832,0.001817181,0.021407618
0.88,0.011186433,0.05747004,0.001827746,0.021483534
0.879,0.01127678,0.057622551,0.001839805,0.021560372
0.878,0.011372005,0.057776081,0.001851193,0.021640754
0.877,0.011461914,0.057932237,0.001862309,0.021712449
0.876,0.011552468,0.058095238,0.001872813,0.021785515
0.875,0.011646792,0.058245614,0.001883388,0.021862154
0.874,0.011737996,0.058398727,0.001894185,0.021941649
0.873,0.011830583,0.058549784,0.00190573,0.022016276
0.872,0.011920506,0.058717217,0.001916837,0.022092042
0.871,0.012014965,0.058874459,0.001928159,0.022168333
0.87,0.012103922,0.059016393,0.001940014,0.022243974
0.869,0.012197498,0.059171573,0.001951753,0.022320741
0.868,0.012293367,0.059308768,0.001963095,0.022395206
0.867,0.012391236,0.059472911,0.001975157,0.022469347
0.866,0.012485761,0.059620008,0.001986845,0.022542806
0.865,0.012578712,0.059770115,0.001998907,0.022615241
0.864,0.012679776,0.059927035,0.002010394,0.022687891
0.863,0.01277786,0.06007326,0.002021918,0.022762066
0.862,0.012865401,0.060229757,0.002034043,0.022833558
0.861,0.012957867,0.060388442,0.002045641,0.02291426
0.86,0.01304814,0.060540541,0.002056923,0.022977892
0.859,0.01314584,0.060678619,0.002069088,0.023051053
0.858,0.013238578,0.060823373,0.002080088,0.023124065
0.857,0.013336123,0.060967851,0.002091549,0.023197607
0.856,0.013432626,0.061112855,0.002103204,0.023270444
0.855,0.013522986,0.061263282,0.002114119,0.023345361
0.854,0.013626687,0.061408616,0.002124778,0.023419176
0.853,0.013719666,0.061551468,0.002136776,0.023487809
0.852,0.01381664,0.061696632,0.002147511,0.023558764
0.851,0.013913455,0.061842105,0.002159153,0.023634148
0.85,0.014014068,0.061987834,0.002170587,0.023708301
0.849,0.01410751,0.062135042,0.002181234,0.023781994
0.848,0.014200036,0.062281929,0.002192087,0.023856385
0.847,0.014293251,0.062427614,0.002203457,0.023933225
0.846,0.014388818,0.062577469,0.002215564,0.024006213
0.845,0.014480832,0.062723706,0.002227063,0.024082124
0.844,0.014572462,0.062862319,0.002239177,0.024154233
0.843,0.014664207,0.063011314,0.002250025,0.024227903
0.842,0.014759554,0.063147819,0.0022607,0.024300296
0.841,0.014857882,0.063296172,0.002271943,0.024374083
0.84,0.014954455,0.063442145,0.002283509,0.024440067
0.839,0.015045026,0.063589744,0.002295109,0.02450899
0.838,0.015137927,0.063730866,0.002307306,0.024578564
0.837,0.015232297,0.063883618,0.002318702,0.024649684
0.836,0.015330078,0.064024377,0.002330435,0.024723143
0.835,0.015426128,0.064179069,0.002341979,0.024790955
0.834,0.015520627,0.0643089,0.002353674,0.024857012
0.833,0.01562089,0.064445641,0.002365631,0.024932242
0.832,0.015715139,0.064583333,0.002377167,0.025001802
0.831,0.015813108,0.064732006,0.002389598,0.025071695
0.83,0.01590506,0.064870966,0.002400447,0.025138428
0.829,0.01599741,0.065001357,0.002411457,0.025202843
0.828,0.016084917,0.065145573,0.002423423,0.025275888
0.827,0.016176723,0.065289711,0.002435881,0.025345518
0.826,0.016271848,0.06543798,0.002447987,0.025416628
0.825,0.016367199,0.06557971,0.002459812,0.025491515
0.824,0.016462774,0.06571724,0.002471203,0.025557797
0.823,0.016560179,0.065851878,0.002483103,0.025627939
0.822,0.016658576,0.065992783,0.002494652,0.025699732
0.821,0.016753706,0.066141044,0.00250647,0.025768298
0.82,0.016842445,0.066296296,0.00251844,0.025840381
0.819,0.016941589,0.066450836,0.00252995,0.025910266
0.818,0.017037389,0.066610179,0.002541816,0.025976562
0.817,0.017132501,0.066666667,0.002554076,0.026044146
0.816,0.017232663,0.066842976,0.002564877,0.02610899
0.815,0.017329541,0.066991342,0.002577227,0.02617508
0.814,0.017421892,0.067126437,0.002588736,0.026242102
0.813,0.017517531,0.067258565,0.002601299,0.026310697
0.812,0.017615272,0.067397586,0.002613646,0.026381561
0.811,0.017710842,0.06752634,0.002625641,0.026446623
0.81,0.017799346,0.067656766,0.002637147,0.026517914
0.809,0.017898652,0.067788355,0.002648826,0.026583097
0.808,0.017993273,0.067922493,0.002660469,0.02665499
0.807,0.01809199,0.068055556,0.002672435,0.026723691
0.806,0.018191344,0.068196942,0.002684744,0.026790142
0.805,0.018286214,0.068333333,0.002697031,0.026860168
0.804,0.018380181,0.068475333,0.00270894,0.026922196
0.803,0.018474542,0.068603678,0.002721345,0.026993658
0.802,0.018572609,0.0687319,0.002732991,0.027067616
0.801,0.018680206,0.068860444,0.002744977,0.027130655
0.8,0.018778809,0.069000069,0.002756474,0.0271945
0.799,0.018872671,0.069136314,0.002768507,0.027260092
0.798,0.018969194,0.069265793,0.002781354,0.02732987
0.797,0.019055973,0.069408274,0.00279266,0.0273933
0.796,0.019155189,0.069545179,0.002805705,0.027466657
0.795,0.01925044,0.069677568,0.002817592,0.027532327
0.794,0.019349222,0.069813314,0.002828816,0.027604362
0.793,0.019443836,0.069939417,0.002841565,0.027677103
0.792,0.01955006,0.070066734,0.002853852,0.02774316
0.791,0.019636969,0.07020757,0.002866554,0.027811568
0.79,0.019739457,0.070343137,0.002878522,0.027877708
0.789,0.019838298,0.07047619,0.00289081,0.027942166
0.788,0.019932646,0.070614375,0.00290271,0.028011932
0.787,0.020029297,0.070746854,0.002915168,0.028077237
0.786,0.020121616,0.070880571,0.00292791,0.028143324
0.785,0.020218313,0.071022695,0.002940695,0.028213212
0.784,0.020318319,0.071167319,0.002953133,0.02827554
0.783,0.02041132,0.071301305,0.002965092,0.028341679
0.782,0.020507389,0.071428571,0.002977447,0.028414222
0.781,0.020602747,0.071554172,0.002989769,0.028486003
0.78,0.020695799,0.071688367,0.003001917,0.028554136
0.779,0.020792565,0.071831389,0.003014895,0.028619554
0.778,0.020886186,0.071969697,0.003026282,0.028686758
0.777,0.02098044,0.072096802,0.003038396,0.028755357
0.776,0.021069522,0.072229822,0.003050594,0.028819549
0.775,0.021161741,0.07236639,0.003063038,0.028880994
0.774,0.021258476,0.072505422,0.003076215,0.028946477
0.773,0.021351368,0.072649151,0.003089349,0.029008838
0.772,0.021448992,0.072787304,0.00310206,0.029079088
0.771,0.021545468,0.072919291,0.003113557,0.029142149
0.77,0.021645419,0.07306047,0.003125264,0.02920995
0.769,0.021745286,0.073198808,0.003138089,0.029275863
0.768,0.021838124,0.073333333,0.0031507,0.029339554
0.767,0.021929974,0.073453727,0.003162838,0.029408966
0.766,0.022023069,0.073580515,0.003175939,0.029476962
0.765,0.022125089,0.073709525,0.003187726,0.029543894
0.764,0.022225541,0.073835125,0.003201275,0.029608118
0.763,0.022321662,0.073975539,0.003213751,0.029677067
0.762,0.02241948,0.074117362,0.003225815,0.029744557
0.761,0.02251756,0.07425761,0.003238221,0.0298116
0.76,0.022613125,0.074385965,0.003250891,0.029880092
0.759,0.02271165,0.074522448,0.003264165,0.029942832
0.758,0.022807332,0.074647822,0.003276585,0.030012842
0.757,0.02290255,0.074772748,0.003289315,0.030080717
0.756,0.022999111,0.074898374,0.003302701,0.030152789
0.755,0.023091173,0.075022462,0.00331541,0.030218985
0.754,0.023191144,0.075168074,0.00332783,0.030286095
0.753,0.023289911,0.075301503,0.003341085,0.030357834
0.752,0.023388763,0.075431859,0.003354227,0.030425256
0.751,0.023481226,0.075561125,0.003366068,0.030489569
0.75,0.023583544,0.075689223,0.003378496,0.030552529
0.749,0.023688154,0.075820337,0.003391236,0.030620491
